scenario,previous_context_tuple,next_context_tuple,transition_count,transition_share
ambiguous_local_context,home|resting|medium|nominal,home|resting|medium|nominal,53,0.0045106382978723405
ambiguous_local_context,home|resting|medium|nominal,home|resting|low|nominal,49,0.004170212765957447
ambiguous_local_context,home|resting|low|nominal,home|resting|medium|nominal,47,0.004
ambiguous_local_context,office|focused_work|medium|nominal,office|focused_work|medium|nominal,36,0.0030638297872340424
ambiguous_local_context,office|focused_work|medium|nominal,office|interacting|medium|nominal,36,0.0030638297872340424
ambiguous_local_context,home|resting|medium|nominal,home|resting|high|nominal,32,0.002723404255319149
ambiguous_local_context,home|resting|low|nominal,home|resting|low|nominal,30,0.002553191489361702
ambiguous_local_context,transit|commuting|medium|nominal,transit|commuting|medium|nominal,29,0.002468085106382979
ambiguous_local_context,office|interacting|medium|nominal,office|interacting|medium|nominal,28,0.0023829787234042553
ambiguous_local_context,home|resting|high|nominal,home|resting|medium|nominal,27,0.002297872340425532
ambiguous_local_context,transit|commuting|high|nominal,transit|commuting|high|nominal,27,0.002297872340425532
ambiguous_local_context,office|interacting|medium|nominal,office|focused_work|low|nominal,26,0.0022127659574468087
ambiguous_local_context,office|interacting|medium|nominal,office|focused_work|medium|nominal,26,0.0022127659574468087
ambiguous_local_context,office|focused_work|low|nominal,office|interacting|high|nominal,25,0.002127659574468085
ambiguous_local_context,office|interacting|high|nominal,office|focused_work|medium|nominal,25,0.002127659574468085
ambiguous_local_context,office|focused_work|medium|nominal,office|focused_work|low|nominal,23,0.0019574468085106385
ambiguous_local_context,office|interacting|medium|nominal,office|interacting|high|nominal,23,0.0019574468085106385
ambiguous_local_context,transit|commuting|medium|nominal,transit|commuting|high|nominal,23,0.0019574468085106385
ambiguous_local_context,office|focused_work|low|nominal,office|focused_work|medium|nominal,22,0.001872340425531915
ambiguous_local_context,home|resting|high|nominal,home|resting|low|nominal,21,0.0017872340425531914
ambiguous_local_context,office|focused_work|low|nominal,office|focused_work|low|nominal,21,0.0017872340425531914
ambiguous_local_context,transit|commuting|high|nominal,transit|commuting|medium|nominal,21,0.0017872340425531914
ambiguous_local_context,office|focused_work|low|nominal,office|interacting|medium|nominal,20,0.001702127659574468
ambiguous_local_context,office|focused_work|medium|nominal,office|interacting|low|nominal,19,0.0016170212765957447
ambiguous_local_context,office|interacting|medium|nominal,meeting_room|focused_work|medium|nominal,19,0.0016170212765957447
ambiguous_local_context,meeting_room|focused_work|medium|nominal,meeting_room|interacting|medium|nominal,18,0.0015319148936170212
ambiguous_local_context,office|interacting|high|nominal,office|interacting|medium|nominal,18,0.0015319148936170212
ambiguous_local_context,office|interacting|low|nominal,office|focused_work|medium|nominal,18,0.0015319148936170212
ambiguous_local_context,transit|commuting|high|degraded,transit|commuting|high|nominal,18,0.0015319148936170212
ambiguous_local_context,transit|commuting|medium|nominal,transit|commuting|high|degraded,18,0.0015319148936170212
ambiguous_local_context,home|resting|medium|nominal,home|focused_work|low|nominal,17,0.0014468085106382979
ambiguous_local_context,home|resting|medium|nominal,home|resting|medium|degraded,17,0.0014468085106382979
ambiguous_local_context,office|focused_work|high|nominal,office|focused_work|medium|nominal,17,0.0014468085106382979
ambiguous_local_context,office|focused_work|medium|nominal,office|focused_work|high|nominal,17,0.0014468085106382979
ambiguous_local_context,office|focused_work|medium|nominal,office|interacting|high|nominal,17,0.0014468085106382979
ambiguous_local_context,office|interacting|high|nominal,office|interacting|high|nominal,17,0.0014468085106382979
ambiguous_local_context,transit|commuting|high|degraded,transit|commuting|medium|nominal,17,0.0014468085106382979
ambiguous_local_context,transit|commuting|medium|nominal,office|interacting|medium|nominal,17,0.0014468085106382979
ambiguous_local_context,home|resting|low|nominal,home|resting|high|nominal,16,0.0013617021276595745
ambiguous_local_context,office|interacting|low|nominal,office|interacting|medium|nominal,16,0.0013617021276595745
ambiguous_local_context,office|interacting|medium|nominal,office|focused_work|high|nominal,16,0.0013617021276595745
ambiguous_local_context,transit|commuting|medium|nominal,office|focused_work|medium|nominal,16,0.0013617021276595745
ambiguous_local_context,home|resting|medium|sparse,home|resting|medium|nominal,15,0.001276595744680851
ambiguous_local_context,meeting_room|interacting|medium|nominal,meeting_room|focused_work|high|nominal,15,0.001276595744680851
