scenario,policy,policy_label,discovery_mode,episode,place,activity,env_load,resource_state,mean_variable_accuracy,overall_context_accuracy,nodes_visited,visited_node_count,traversed_edge_count,scored_candidate_count,candidate_variable_coverage_count,all_variables_covered_by_candidates,recruited_variable_coverage_count,all_variables_covered_by_recruited_sources,discovered_candidate_count,selected_source_count,estimated_latency,privacy_exposure_cost,discovery_cost,recruitment_cost,selection_cost,total_operational_cost,ego_missing_rate,convergence_time,adaptive_activation_rate,seed,macro_f1_place,macro_f1_activity,macro_f1_env_load,macro_f1_resource_state
nominal,ego_only,Ego-only,exhaustive_hop,0,0.4791666666666667,0.5625,0.4791666666666667,0.5416666666666666,0.515625,0.10416666666666667,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19270833333333334,5.7317073170731705,0.0,7,0.47107962213225363,0.4643433765573354,0.44733893557422966,0.32575757575757575
nominal,ego_only,Ego-only,exhaustive_hop,1,0.7708333333333334,0.5625,0.5833333333333334,0.625,0.6354166666666666,0.20833333333333334,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17708333333333334,3.25,0.0,7,0.7573602867720515,0.5570165335036219,0.5601122334455667,0.3717171717171717
nominal,ego_only,Ego-only,exhaustive_hop,2,0.625,0.5,0.6875,0.4791666666666667,0.5729166666666666,0.22916666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2.577777777777778,0.0,7,0.598982098982099,0.4955208584518929,0.6880614657210402,0.3340476445587342
nominal,ego_only,Ego-only,exhaustive_hop,3,0.5416666666666666,0.625,0.625,0.5,0.5729166666666666,0.10416666666666667,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14583333333333334,5.694444444444445,0.0,7,0.5027035056446821,0.6276526610644257,0.6305513658454834,0.41370729082593494
nominal,ego_only,Ego-only,exhaustive_hop,4,0.5208333333333334,0.6666666666666666,0.6041666666666666,0.5833333333333334,0.59375,0.1875,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22916666666666666,6.146341463414634,0.0,7,0.5032967032967033,0.6715022851245761,0.5631929046563194,0.4676034348165496
nominal,ego_only,Ego-only,exhaustive_hop,5,0.5833333333333334,0.5625,0.5833333333333334,0.7083333333333334,0.609375,0.20833333333333334,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14583333333333334,3.0681818181818183,0.0,7,0.5835747585747586,0.5327141382868937,0.5316098528178144,0.5095238095238096
nominal,ego_only,Ego-only,exhaustive_hop,6,0.625,0.5416666666666666,0.5625,0.625,0.5885416666666666,0.1875,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21875,2.606060606060606,0.0,7,0.6170094466936573,0.558560606060606,0.5445516945516945,0.411764705882353
nominal,ego_only,Ego-only,exhaustive_hop,7,0.625,0.5208333333333334,0.7291666666666666,0.625,0.625,0.22916666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14583333333333334,2.575,0.0,7,0.5656049736967959,0.48214411027568926,0.734920634920635,0.5297794117647059
nominal,ego_only,Ego-only,exhaustive_hop,8,0.4375,0.5416666666666666,0.6666666666666666,0.6041666666666666,0.5625,0.125,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,2.125,0.0,7,0.4204977375565611,0.507114560595036,0.6148148148148148,0.4513071895424836
nominal,ego_only,Ego-only,exhaustive_hop,9,0.5625,0.5625,0.5416666666666666,0.5208333333333334,0.546875,0.0625,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24479166666666666,9.047619047619047,0.0,7,0.5432880844645551,0.5532600732600732,0.544877344877345,0.40723584938765484
