scenario,policy,policy_label,seed,episode,overall_context_accuracy
nominal,ego_only,Ego-only,7,0,0.10416666666666667
nominal,ego_only,Ego-only,7,1,0.20833333333333334
nominal,ego_only,Ego-only,7,2,0.22916666666666666
nominal,ego_only,Ego-only,7,3,0.10416666666666667
nominal,ego_only,Ego-only,7,4,0.1875
nominal,ego_only,Ego-only,7,5,0.20833333333333334
nominal,ego_only,Ego-only,7,6,0.1875
nominal,ego_only,Ego-only,7,7,0.22916666666666666
nominal,ego_only,Ego-only,7,8,0.125
nominal,ego_only,Ego-only,7,9,0.0625
nominal,ego_only,Ego-only,7,10,0.125
nominal,ego_only,Ego-only,7,11,0.16666666666666666
nominal,ego_only,Ego-only,7,12,0.22916666666666666
nominal,ego_only,Ego-only,7,13,0.2708333333333333
nominal,ego_only,Ego-only,7,14,0.16666666666666666
nominal,ego_only,Ego-only,7,15,0.125
nominal,ego_only,Ego-only,7,16,0.10416666666666667
nominal,ego_only,Ego-only,7,17,0.1875
nominal,ego_only,Ego-only,7,18,0.16666666666666666
nominal,ego_only,Ego-only,7,19,0.16666666666666666
nominal,ego_only,Ego-only,7,20,0.10416666666666667
nominal,ego_only,Ego-only,7,21,0.14583333333333334
nominal,ego_only,Ego-only,7,22,0.10416666666666667
nominal,ego_only,Ego-only,7,23,0.1875
nominal,ego_only,Ego-only,7,24,0.125
nominal,ego_only,Ego-only,7,25,0.20833333333333334
nominal,ego_only,Ego-only,7,26,0.25
nominal,ego_only,Ego-only,7,27,0.125
nominal,ego_only,Ego-only,7,28,0.20833333333333334
nominal,ego_only,Ego-only,7,29,0.0625
nominal,ego_only,Ego-only,7,30,0.08333333333333333
nominal,ego_only,Ego-only,7,31,0.08333333333333333
nominal,ego_only,Ego-only,7,32,0.125
nominal,ego_only,Ego-only,7,33,0.125
nominal,ego_only,Ego-only,7,34,0.14583333333333334
nominal,ego_only,Ego-only,7,35,0.08333333333333333
nominal,ego_only,Ego-only,7,36,0.125
nominal,ego_only,Ego-only,7,37,0.14583333333333334
nominal,ego_only,Ego-only,7,38,0.14583333333333334
nominal,ego_only,Ego-only,7,39,0.041666666666666664
nominal,ego_only,Ego-only,7,40,0.10416666666666667
nominal,ego_only,Ego-only,7,41,0.08333333333333333
nominal,ego_only,Ego-only,7,42,0.1875
nominal,ego_only,Ego-only,7,43,0.10416666666666667
nominal,ego_only,Ego-only,7,44,0.125
nominal,ego_only,Ego-only,7,45,0.16666666666666666
nominal,ego_only,Ego-only,7,46,0.125
nominal,ego_only,Ego-only,7,47,0.14583333333333334
nominal,ego_only,Ego-only,7,48,0.14583333333333334
nominal,ego_only,Ego-only,7,49,0.08333333333333333
nominal,ego_only,Ego-only,11,0,0.1875
nominal,ego_only,Ego-only,11,1,0.125
nominal,ego_only,Ego-only,11,2,0.1875
nominal,ego_only,Ego-only,11,3,0.14583333333333334
nominal,ego_only,Ego-only,11,4,0.16666666666666666
nominal,ego_only,Ego-only,11,5,0.0625
nominal,ego_only,Ego-only,11,6,0.14583333333333334
nominal,ego_only,Ego-only,11,7,0.1875
nominal,ego_only,Ego-only,11,8,0.125
nominal,ego_only,Ego-only,11,9,0.20833333333333334
nominal,ego_only,Ego-only,11,10,0.2916666666666667
nominal,ego_only,Ego-only,11,11,0.14583333333333334
nominal,ego_only,Ego-only,11,12,0.08333333333333333
nominal,ego_only,Ego-only,11,13,0.1875
nominal,ego_only,Ego-only,11,14,0.16666666666666666
nominal,ego_only,Ego-only,11,15,0.14583333333333334
nominal,ego_only,Ego-only,11,16,0.10416666666666667
nominal,ego_only,Ego-only,11,17,0.20833333333333334
nominal,ego_only,Ego-only,11,18,0.20833333333333334
nominal,ego_only,Ego-only,11,19,0.14583333333333334
nominal,ego_only,Ego-only,11,20,0.1875
nominal,ego_only,Ego-only,11,21,0.08333333333333333
nominal,ego_only,Ego-only,11,22,0.125
nominal,ego_only,Ego-only,11,23,0.20833333333333334
nominal,ego_only,Ego-only,11,24,0.1875
nominal,ego_only,Ego-only,11,25,0.10416666666666667
nominal,ego_only,Ego-only,11,26,0.10416666666666667
nominal,ego_only,Ego-only,11,27,0.10416666666666667
nominal,ego_only,Ego-only,11,28,0.125
nominal,ego_only,Ego-only,11,29,0.08333333333333333
nominal,ego_only,Ego-only,11,30,0.125
nominal,ego_only,Ego-only,11,31,0.10416666666666667
nominal,ego_only,Ego-only,11,32,0.125
nominal,ego_only,Ego-only,11,33,0.1875
nominal,ego_only,Ego-only,11,34,0.125
nominal,ego_only,Ego-only,11,35,0.020833333333333332
nominal,ego_only,Ego-only,11,36,0.14583333333333334
nominal,ego_only,Ego-only,11,37,0.14583333333333334
nominal,ego_only,Ego-only,11,38,0.125
nominal,ego_only,Ego-only,11,39,0.1875
nominal,ego_only,Ego-only,11,40,0.0625
nominal,ego_only,Ego-only,11,41,0.16666666666666666
nominal,ego_only,Ego-only,11,42,0.20833333333333334
nominal,ego_only,Ego-only,11,43,0.0625
nominal,ego_only,Ego-only,11,44,0.08333333333333333
nominal,ego_only,Ego-only,11,45,0.14583333333333334
nominal,ego_only,Ego-only,11,46,0.08333333333333333
nominal,ego_only,Ego-only,11,47,0.14583333333333334
nominal,ego_only,Ego-only,11,48,0.14583333333333334
nominal,ego_only,Ego-only,11,49,0.08333333333333333
nominal,ego_only,Ego-only,13,0,0.14583333333333334
nominal,ego_only,Ego-only,13,1,0.10416666666666667
nominal,ego_only,Ego-only,13,2,0.22916666666666666
nominal,ego_only,Ego-only,13,3,0.25
nominal,ego_only,Ego-only,13,4,0.16666666666666666
nominal,ego_only,Ego-only,13,5,0.2708333333333333
nominal,ego_only,Ego-only,13,6,0.08333333333333333
nominal,ego_only,Ego-only,13,7,0.16666666666666666
nominal,ego_only,Ego-only,13,8,0.14583333333333334
nominal,ego_only,Ego-only,13,9,0.10416666666666667
nominal,ego_only,Ego-only,13,10,0.125
nominal,ego_only,Ego-only,13,11,0.16666666666666666
nominal,ego_only,Ego-only,13,12,0.14583333333333334
nominal,ego_only,Ego-only,13,13,0.08333333333333333
nominal,ego_only,Ego-only,13,14,0.125
nominal,ego_only,Ego-only,13,15,0.125
nominal,ego_only,Ego-only,13,16,0.1875
nominal,ego_only,Ego-only,13,17,0.10416666666666667
nominal,ego_only,Ego-only,13,18,0.16666666666666666
nominal,ego_only,Ego-only,13,19,0.0625
nominal,ego_only,Ego-only,13,20,0.1875
nominal,ego_only,Ego-only,13,21,0.14583333333333334
nominal,ego_only,Ego-only,13,22,0.125
