scenario,policy,policy_label,macro_f1_place,macro_f1_place_ci95_low,macro_f1_place_ci95_high,macro_f1_activity,macro_f1_activity_ci95_low,macro_f1_activity_ci95_high,macro_f1_env_load,macro_f1_env_load_ci95_low,macro_f1_env_load_ci95_high,macro_f1_resource_state,macro_f1_resource_state_ci95_low,macro_f1_resource_state_ci95_high
nominal,ego_only,Ego-only,0.5357554131713641,0.5261764722734209,0.5454552249290056,0.531575956077615,0.522217626866964,0.5405888075148829,0.5749794618056561,0.5655694995761398,0.5838454199483799,0.43331369414502635,0.42368387780427136,0.44268223454490624
nominal,opportunistic_all,Opportunistic all,0.9907667927474825,0.9854132294372294,0.9956603232170129,0.8642240563395565,0.8539456097933033,0.8746199233790242,0.9989811906832337,0.9983470965517033,0.9995757225213111,0.8776377918912137,0.8679336864334006,0.8876644462941546
nominal,siot_aware,SIoT-aware,0.6622594708079593,0.6520451420123093,0.6732994887126773,0.6587900289709193,0.6486967182792722,0.6699118954177407,0.6320389257182749,0.6240931990308838,0.6404576634897665,0.5895027596051655,0.5759981514543403,0.6022927454924809
nominal,siot_aware_trust_privacy,Privacy-aware SIoT,0.6485277495916294,0.6382842806675911,0.6583465714557845,0.6385917439590433,0.629648888141071,0.6482351884378227,0.628869037810952,0.6197517435785102,0.6372871577475565,0.5706114745390175,0.5586518203980085,0.5811519263895322
degraded_ego,ego_only,Ego-only,0.26527036871931226,0.25668792797822576,0.27397514901660563,0.2628968799413168,0.25386454246487744,0.2715969217332643,0.32638648234948553,0.31860950550118594,0.33538734207684245,0.2983150443439806,0.29072713455556776,0.30628361533398446
degraded_ego,opportunistic_all,Opportunistic all,0.9959950529701417,0.9926666698462523,0.99878862620545,0.8445842191749432,0.8343612321737192,0.8553475070795032,0.9974853267875099,0.996388083660301,0.9985138416755444,0.8979404384749414,0.8896782133149377,0.9062950256831416
degraded_ego,siot_aware,SIoT-aware,0.6141744723429607,0.6007585001107895,0.626420122623958,0.5792362997064895,0.563993042767465,0.595787690683979,0.5861846455160407,0.5723503348020231,0.5987344890649937,0.6045733308866416,0.5913542509775439,0.6183410035697251
degraded_ego,siot_aware_trust_privacy,Privacy-aware SIoT,0.587815927853744,0.5753221041347601,0.6004966230537171,0.5635108380911764,0.5490722086926455,0.5762071556926769,0.5763879305371487,0.5613169119160202,0.5901641605691045,0.5855928094947838,0.5728063934600153,0.597924004186343
ambiguous_local_context,ego_only,Ego-only,0.30368732809165516,0.2939947557137933,0.31216334122967854,0.3553084399096554,0.3446801401752934,0.3662795858707276,0.5445570966914657,0.5355691667770923,0.553667185614808,0.44849286109883413,0.4389941109825819,0.4576656154540643
ambiguous_local_context,opportunistic_all,Opportunistic all,0.9905952891897102,0.9852836683405923,0.9951726599400563,0.7992063786476046,0.7860383657706776,0.8119093769875813,0.9986894502053654,0.9978802287210803,0.9993767596929307,0.8861796099040371,0.876828082429344,0.8949033148917005
ambiguous_local_context,siot_aware,SIoT-aware,0.4812800704730564,0.4711364439524578,0.49280755460913944,0.5317520226432804,0.5191479400180619,0.5449321919040204,0.644160932319403,0.6346485298192818,0.6532737056738104,0.6241088350378791,0.611740395995053,0.6356910759526803
ambiguous_local_context,siot_aware_trust_privacy,Privacy-aware SIoT,0.46120148533080246,0.45189949564113147,0.4699797309732679,0.5093128655219415,0.49827906822061957,0.5208462252406424,0.6398371463073628,0.630097602816021,0.6494022747238564,0.6101823918992126,0.5999522620283587,0.6204533706588637
noisy_untrusted_external,ego_only,Ego-only,0.45605280283262956,0.4461369185078226,0.46628367186527775,0.4431210445595454,0.43326121694182307,0.4537538360998432,0.5034633170899795,0.4944598291952741,0.5123722059271002,0.4048616691797329,0.39589143875221405,0.41365634126419826
noisy_untrusted_external,opportunistic_all,Opportunistic all,0.866912262468485,0.8570767992115925,0.8773988730993039,0.597223565746157,0.585104774466782,0.6080654860182778,0.8200902534342979,0.8117421609627747,0.8279843003213565,0.5586355365128106,0.5478030454186165,0.5690227814481004
noisy_untrusted_external,siot_aware,SIoT-aware,0.5189721279662585,0.5082505123381418,0.5294869349396031,0.5170898811736379,0.5053369365145939,0.5280652620685954,0.5164177188431438,0.5065385782442821,0.5254990719858453,0.4780579242056488,0.46767902979587217,0.4894157687169659
noisy_untrusted_external,siot_aware_trust_privacy,Privacy-aware SIoT,0.5123840921380841,0.5009320322385296,0.5227052904071946,0.5079834593631221,0.4972433621755865,0.5200987291905483,0.511501916967653,0.5027620413830121,0.5212603335128869,0.4761790976890272,0.4658059981165029,0.48786192197299355
