summary_type,scenario,policy,policy_label,failure_category,wrong_variable_count,wrong_variable_combination,true_context_tuple,estimated_context_tuple,count,rate
misclassified_context_tuple,nominal,ego_only,Ego-only,misclassified_context_tuple,-1,not_applicable,office|focused_work|medium|nominal,office|focused_work|low|nominal,47,0.003916666666666666
misclassified_context_tuple,nominal,ego_only,Ego-only,misclassified_context_tuple,-1,not_applicable,office|focused_work|medium|nominal,office|focused_work|medium|degraded,39,0.00325
misclassified_context_tuple,nominal,ego_only,Ego-only,misclassified_context_tuple,-1,not_applicable,transit|commuting|medium|nominal,transit|commuting|low|nominal,36,0.003
misclassified_context_tuple,nominal,ego_only,Ego-only,misclassified_context_tuple,-1,not_applicable,office|focused_work|low|nominal,office|focused_work|low|degraded,35,0.002916666666666667
misclassified_context_tuple,nominal,ego_only,Ego-only,misclassified_context_tuple,-1,not_applicable,office|focused_work|low|nominal,home|focused_work|low|nominal,31,0.0025833333333333333
misclassified_context_tuple,nominal,ego_only,Ego-only,misclassified_context_tuple,-1,not_applicable,office|focused_work|medium|nominal,office|focused_work|high|nominal,31,0.0025833333333333333
misclassified_context_tuple,nominal,ego_only,Ego-only,misclassified_context_tuple,-1,not_applicable,home|resting|medium|nominal,home|focused_work|medium|nominal,30,0.0025
misclassified_context_tuple,nominal,ego_only,Ego-only,misclassified_context_tuple,-1,not_applicable,home|resting|medium|nominal,home|resting|low|nominal,29,0.002416666666666667
misclassified_context_tuple,nominal,ego_only,Ego-only,misclassified_context_tuple,-1,not_applicable,home|resting|medium|nominal,home|resting|medium|degraded,29,0.002416666666666667
misclassified_context_tuple,nominal,ego_only,Ego-only,misclassified_context_tuple,-1,not_applicable,home|resting|low|nominal,home|resting|low|sparse,28,0.0023333333333333335
misclassified_context_tuple,nominal,ego_only,Ego-only,misclassified_context_tuple,-1,not_applicable,office|focused_work|low|nominal,office|focused_work|low|sparse,28,0.0023333333333333335
misclassified_context_tuple,nominal,ego_only,Ego-only,misclassified_context_tuple,-1,not_applicable,office|focused_work|medium|nominal,home|focused_work|medium|nominal,28,0.0023333333333333335
wrong_variable_combination,nominal,ego_only,Ego-only,all_variables_correct,0,none,not_applicable,not_applicable,1674,0.1395
wrong_variable_combination,nominal,ego_only,Ego-only,only_one_variable_wrong,1,activity,not_applicable,not_applicable,1021,0.08508333333333333
wrong_variable_combination,nominal,ego_only,Ego-only,only_one_variable_wrong,1,place,not_applicable,not_applicable,933,0.07775
wrong_variable_combination,nominal,ego_only,Ego-only,only_one_variable_wrong,1,env_load,not_applicable,not_applicable,867,0.07225
wrong_variable_combination,nominal,ego_only,Ego-only,only_one_variable_wrong,1,resource_state,not_applicable,not_applicable,864,0.072
wrong_variable_combination,nominal,ego_only,Ego-only,two_variables_wrong,2,activity+resource_state,not_applicable,not_applicable,692,0.057666666666666665
wrong_variable_combination,nominal,ego_only,Ego-only,two_variables_wrong,2,place+activity,not_applicable,not_applicable,682,0.05683333333333333
wrong_variable_combination,nominal,ego_only,Ego-only,all_variables_wrong,4,place+activity+env_load+resource_state,not_applicable,not_applicable,667,0.05558333333333333
wrong_variable_combination,nominal,ego_only,Ego-only,two_variables_wrong,2,activity+env_load,not_applicable,not_applicable,648,0.054
wrong_variable_combination,nominal,ego_only,Ego-only,two_variables_wrong,2,place+resource_state,not_applicable,not_applicable,616,0.051333333333333335
wrong_variable_combination,nominal,ego_only,Ego-only,two_variables_wrong,2,env_load+resource_state,not_applicable,not_applicable,589,0.04908333333333333
