scenario,policy,policy_label,discovery_mode,lambda_cost,lambda_privacy,lambda_latency,OCA,normalized_total_operational_cost,normalized_privacy_cost,normalized_latency_proxy,net_utility
ambiguous_local_context,ego_only,Ego-only,exhaustive_hop,0.0,0.0,0.0,0.05233333333333333,0.0,0.0,0.0,0.05233333333333333
ambiguous_local_context,opportunistic_all,Opportunistic all,exhaustive_hop,0.0,0.0,0.0,0.743,1.0,1.0,1.0,0.743
ambiguous_local_context,siot_aware,SIoT-aware,bounded_relationship_guided,0.0,0.0,0.0,0.1363333333333333,0.23750843748109296,0.125177143046382,0.4569279732218274,0.1363333333333333
ambiguous_local_context,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,0.0,0.0,0.0,0.12158333333333333,0.23572715356544435,0.11427598156804455,0.4411214563376948,0.12158333333333333
ambiguous_local_context,ego_only,Ego-only,exhaustive_hop,0.0,0.0,0.1,0.05233333333333333,0.0,0.0,0.0,0.05233333333333333
ambiguous_local_context,opportunistic_all,Opportunistic all,exhaustive_hop,0.0,0.0,0.1,0.743,1.0,1.0,1.0,0.643
ambiguous_local_context,siot_aware,SIoT-aware,bounded_relationship_guided,0.0,0.0,0.1,0.1363333333333333,0.23750843748109296,0.125177143046382,0.4569279732218274,0.09064053601115057
ambiguous_local_context,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,0.0,0.0,0.1,0.12158333333333333,0.23572715356544435,0.11427598156804455,0.4411214563376948,0.07747118769956385
ambiguous_local_context,ego_only,Ego-only,exhaustive_hop,0.0,0.15,0.0,0.05233333333333333,0.0,0.0,0.0,0.05233333333333333
ambiguous_local_context,opportunistic_all,Opportunistic all,exhaustive_hop,0.0,0.15,0.0,0.743,1.0,1.0,1.0,0.593
ambiguous_local_context,siot_aware,SIoT-aware,bounded_relationship_guided,0.0,0.15,0.0,0.1363333333333333,0.23750843748109296,0.125177143046382,0.4569279732218274,0.11755676187637601
ambiguous_local_context,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,0.0,0.15,0.0,0.12158333333333333,0.23572715356544435,0.11427598156804455,0.4411214563376948,0.10444193609812666
ambiguous_local_context,ego_only,Ego-only,exhaustive_hop,0.0,0.15,0.1,0.05233333333333333,0.0,0.0,0.0,0.05233333333333333
ambiguous_local_context,opportunistic_all,Opportunistic all,exhaustive_hop,0.0,0.15,0.1,0.743,1.0,1.0,1.0,0.493
ambiguous_local_context,siot_aware,SIoT-aware,bounded_relationship_guided,0.0,0.15,0.1,0.1363333333333333,0.23750843748109296,0.125177143046382,0.4569279732218274,0.07186396455419328
ambiguous_local_context,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,0.0,0.15,0.1,0.12158333333333333,0.23572715356544435,0.11427598156804455,0.4411214563376948,0.06032979046435718
ambiguous_local_context,ego_only,Ego-only,exhaustive_hop,0.25,0.0,0.0,0.05233333333333333,0.0,0.0,0.0,0.05233333333333333
ambiguous_local_context,opportunistic_all,Opportunistic all,exhaustive_hop,0.25,0.0,0.0,0.743,1.0,1.0,1.0,0.493
ambiguous_local_context,siot_aware,SIoT-aware,bounded_relationship_guided,0.25,0.0,0.0,0.1363333333333333,0.23750843748109296,0.125177143046382,0.4569279732218274,0.07695622396306007
