scenario,policy,policy_label,overall_context_accuracy,overall_context_accuracy_ci95_low,overall_context_accuracy_ci95_high,mean_variable_accuracy,mean_variable_accuracy_ci95_low,mean_variable_accuracy_ci95_high,robustness_vs_ego_missingness
nominal,ego_only,Ego-only,0.1395,0.1334979166666667,0.14566666666666667,0.5734166666666668,0.5687697916666666,0.5785854166666666,0.34227579460274554
nominal,opportunistic_all,Opportunistic all,0.8045,0.7935,0.8160895833333333,0.948375,0.9451458333333334,0.9515416666666667,0.1070883362722704
nominal,siot_aware,SIoT-aware,0.21925,0.2114166666666667,0.22750208333333333,0.6763125,0.6716239583333333,0.6816046875000001,-0.07034126949510514
nominal,siot_aware_trust_privacy,Privacy-aware SIoT,0.2029166666666667,0.1953333333333333,0.21025,0.6626458333333334,0.658103125,0.6674182291666667,-0.08732685729239983
degraded_ego,ego_only,Ego-only,0.020666666666666667,0.018,0.023166666666666665,0.3448333333333333,0.3402067708333334,0.34941927083333335,0.030266720905718254
degraded_ego,opportunistic_all,Opportunistic all,0.7739166666666666,0.76275,0.7845,0.939875,0.9368531250000001,0.9427505208333333,-0.0959188808429368
degraded_ego,siot_aware,SIoT-aware,0.1535,0.14558125,0.16167499999999999,0.6202291666666667,0.612875,0.6270213541666667,-0.14279427918406445
degraded_ego,siot_aware_trust_privacy,Privacy-aware SIoT,0.1365,0.12883125,0.1440833333333333,0.60325,0.5964369791666666,0.6101671875000001,-0.24314908682201666
ambiguous_local_context,ego_only,Ego-only,0.05233333333333333,0.04841666666666667,0.05625,0.46639583333333323,0.46156197916666664,0.47095989583333336,0.22003560929749733
ambiguous_local_context,opportunistic_all,Opportunistic all,0.743,0.7294083333333333,0.756,0.9313958333333333,0.9280609375,0.9350005208333334,0.19455227497018937
ambiguous_local_context,siot_aware,SIoT-aware,0.1363333333333333,0.13033124999999998,0.14233541666666666,0.6050208333333333,0.5995,0.6103338541666666,-0.03653354487529687
ambiguous_local_context,siot_aware_trust_privacy,Privacy-aware SIoT,0.12158333333333333,0.11583125000000001,0.12783333333333333,0.5897916666666667,0.5850192708333332,0.5945427083333333,-0.10599355244549444
noisy_untrusted_external,ego_only,Ego-only,0.08341666666666667,0.07833125,0.08842291666666666,0.5084166666666666,0.5036666666666667,0.5134822916666666,0.21970662051844242
noisy_untrusted_external,opportunistic_all,Opportunistic all,0.30275,0.29474791666666667,0.31108541666666667,0.7494583333333332,0.7453119791666667,0.7539796875000001,-0.13218929228315987
noisy_untrusted_external,siot_aware,SIoT-aware,0.09783333333333334,0.09183333333333332,0.10366666666666666,0.5527708333333332,0.5477708333333332,0.558021875,0.14470730005708135
noisy_untrusted_external,siot_aware_trust_privacy,Privacy-aware SIoT,0.09508333333333334,0.08941666666666667,0.10075,0.5478333333333333,0.5430411458333334,0.5525229166666666,0.18157997263724387
