scenario,policy,policy_label,macro_f1_place,macro_f1_activity,macro_f1_env_load,macro_f1_resource_state
nominal,ego_only,Ego-only,0.5357554131713641,0.531575956077615,0.5749794618056561,0.43331369414502635
nominal,opportunistic_all,Opportunistic all,0.9907667927474825,0.8642240563395565,0.9989811906832337,0.8776377918912137
nominal,siot_aware,SIoT-aware,0.6622594708079593,0.6587900289709193,0.6320389257182749,0.5895027596051655
nominal,siot_aware_trust_privacy,Privacy-aware SIoT,0.6485277495916294,0.6385917439590433,0.628869037810952,0.5706114745390175
degraded_ego,ego_only,Ego-only,0.26527036871931226,0.2628968799413168,0.32638648234948553,0.2983150443439806
degraded_ego,opportunistic_all,Opportunistic all,0.9959950529701417,0.8445842191749432,0.9974853267875099,0.8979404384749414
degraded_ego,siot_aware,SIoT-aware,0.6141744723429607,0.5792362997064895,0.5861846455160407,0.6045733308866416
degraded_ego,siot_aware_trust_privacy,Privacy-aware SIoT,0.587815927853744,0.5635108380911764,0.5763879305371487,0.5855928094947838
ambiguous_local_context,ego_only,Ego-only,0.30368732809165516,0.3553084399096554,0.5445570966914657,0.44849286109883413
ambiguous_local_context,opportunistic_all,Opportunistic all,0.9905952891897102,0.7992063786476046,0.9986894502053654,0.8861796099040371
ambiguous_local_context,siot_aware,SIoT-aware,0.4812800704730564,0.5317520226432804,0.644160932319403,0.6241088350378791
ambiguous_local_context,siot_aware_trust_privacy,Privacy-aware SIoT,0.46120148533080246,0.5093128655219415,0.6398371463073628,0.6101823918992126
noisy_untrusted_external,ego_only,Ego-only,0.45605280283262956,0.4431210445595454,0.5034633170899795,0.4048616691797329
noisy_untrusted_external,opportunistic_all,Opportunistic all,0.866912262468485,0.597223565746157,0.8200902534342979,0.5586355365128106
noisy_untrusted_external,siot_aware,SIoT-aware,0.5189721279662585,0.5170898811736379,0.5164177188431438,0.4780579242056488
noisy_untrusted_external,siot_aware_trust_privacy,Privacy-aware SIoT,0.5123840921380841,0.5079834593631221,0.511501916967653,0.4761790976890272
