scenario,policy,missingness_bin,overall_context_accuracy,observations,policy_label
nominal,ego_only,"[0.0, 0.25)",0.21347150259067357,5790,Ego-only
nominal,ego_only,"[0.25, 0.5)",0.1052910052910053,3780,Ego-only
nominal,ego_only,"[0.5, 0.75)",0.02162478082992402,1711,Ego-only
nominal,ego_only,"[0.75, 1.01)",0.004172461752433936,719,Ego-only
nominal,opportunistic_all,"[0.0, 0.25)",0.786873920552677,5790,Opportunistic all
nominal,opportunistic_all,"[0.25, 0.5)",0.8052910052910053,3780,Opportunistic all
nominal,opportunistic_all,"[0.5, 0.75)",0.8194038573933372,1711,Opportunistic all
nominal,opportunistic_all,"[0.75, 1.01)",0.9068150208623088,719,Opportunistic all
nominal,siot_aware,"[0.0, 0.25)",0.23056994818652848,5790,SIoT-aware
nominal,siot_aware,"[0.25, 0.5)",0.18703703703703703,3780,SIoT-aware
nominal,siot_aware,"[0.5, 0.75)",0.2074810052600818,1711,SIoT-aware
nominal,siot_aware,"[0.75, 1.01)",0.325452016689847,719,SIoT-aware
nominal,siot_aware_trust_privacy,"[0.0, 0.25)",0.21347150259067357,5790,Privacy-aware SIoT
nominal,siot_aware_trust_privacy,"[0.25, 0.5)",0.1738095238095238,3780,Privacy-aware SIoT
nominal,siot_aware_trust_privacy,"[0.5, 0.75)",0.1852717708942139,1711,Privacy-aware SIoT
nominal,siot_aware_trust_privacy,"[0.75, 1.01)",0.3129346314325452,719,Privacy-aware SIoT
degraded_ego,ego_only,"[0.0, 0.25)",0.036231884057971016,828,Ego-only
degraded_ego,ego_only,"[0.25, 0.5)",0.039186691312384475,2705,Ego-only
degraded_ego,ego_only,"[0.5, 0.75)",0.01879162702188392,4204,Ego-only
degraded_ego,ego_only,"[0.75, 1.01)",0.007741027445460943,4263,Ego-only
degraded_ego,opportunistic_all,"[0.0, 0.25)",0.6582125603864735,828,Opportunistic all
degraded_ego,opportunistic_all,"[0.25, 0.5)",0.6787430683918669,2705,Opportunistic all
