scenario,seed,episode,nodes,source_nodes,edges,density,average_degree,average_clustering_coefficient,graph_connected,average_shortest_path_length,effective_diameter,ego_component_size,ego_component_fraction,ego_degree,ego_degree_centrality,ego_betweenness_centrality,candidate_sources_within_1_hop,candidate_sources_within_2_hop,candidate_sources_within_3_hop,candidate_sources_within_4_hop,edge_count_OOR,edge_count_CLOR,edge_count_CWOR,edge_count_SOR,edge_count_POR,node_type_count_ego_device,node_type_count_environmental_sensor,node_type_count_infrastructure_sensor,node_type_count_opportunistic_object,node_type_count_personal_device,node_type_count_vehicle_sensor,node_type_count_wearable,capability_count_place,capability_count_activity,capability_count_env_load,capability_count_resource_state,graph_size,scalability_episodes,scalability_seeds
nominal,7,0,61,60,94,0.05136612021857923,3.081967213114754,0.02068696330991413,True,3.7273224043715847,5.0,61,1.0,6,0.1,0.2706353690251995,6,30,53,60,4,11,32,19,28,1,16,14,19,2,8,1,34,17,38,23,60,12,"7,11,13"
degraded_ego,7,0,61,60,101,0.055191256830601096,3.3114754098360657,0.03242258652094718,True,3.5278688524590165,5.0,61,1.0,6,0.1,0.14569482149990623,6,30,53,60,3,9,33,29,27,1,16,14,19,2,8,1,39,18,42,22,60,12,"7,11,13"
ambiguous_local_context,7,0,61,60,96,0.05245901639344262,3.1475409836065573,0.00624512099921936,True,3.5530054644808744,5.0,61,1.0,5,0.08333333333333333,0.15104721549636807,5,29,52,60,3,10,31,34,18,1,16,14,19,2,8,1,46,16,33,18,60,12,"7,11,13"
noisy_untrusted_external,7,0,61,60,95,0.05191256830601093,3.1147540983606556,0.006557377049180327,True,3.5814207650273224,5.0,61,1.0,7,0.11666666666666667,0.23841135324186175,7,31,54,60,3,17,27,25,23,1,16,14,19,2,8,1,41,12,37,18,60,12,"7,11,13"
nominal,7,1,61,60,88,0.048087431693989074,2.8852459016393444,0.02459016393442623,True,3.860655737704918,6.0,61,1.0,6,0.1,0.2745847906017398,6,30,53,60,3,13,26,22,24,1,16,14,19,2,8,1,46,21,45,22,60,12,"7,11,13"
degraded_ego,7,1,61,60,99,0.054098360655737705,3.2459016393442623,0.0477751756440281,True,3.685245901639344,5.0,61,1.0,5,0.08333333333333333,0.23776880997219985,5,29,52,60,3,12,32,31,21,1,16,14,19,2,8,1,42,14,42,19,60,12,"7,11,13"
ambiguous_local_context,7,1,61,60,98,0.053551912568306013,3.2131147540983607,0.023497267759562842,True,3.6327868852459018,5.0,61,1.0,7,0.11666666666666667,0.21882554421201644,7,31,54,60,3,12,30,25,28,1,16,14,19,2,8,1,40,16,37,23,60,12,"7,11,13"
noisy_untrusted_external,7,1,61,60,105,0.05737704918032787,3.442622950819672,0.02966432474629196,True,3.416393442622951,5.0,61,1.0,5,0.08333333333333333,0.07384846478066817,5,29,52,60,3,15,33,33,21,1,16,14,19,2,8,1,38,20,40,17,60,12,"7,11,13"
nominal,7,2,61,60,92,0.05027322404371585,3.0163934426229506,0.025683060109289616,True,3.8240437158469947,6.0,61,1.0,8,0.13333333333333333,0.4431167608286253,8,32,55,60,3,12,31,26,20,1,16,14,19,2,8,1,44,22,35,20,60,12,"7,11,13"
degraded_ego,7,2,61,60,97,0.053005464480874315,3.180327868852459,0.034972677595628415,True,3.531693989071038,5.0,61,1.0,7,0.11666666666666667,0.21399627836068508,7,31,54,60,3,14,31,36,13,1,16,14,19,2,8,1,47,19,39,17,60,12,"7,11,13"
ambiguous_local_context,7,2,61,60,101,0.055191256830601096,3.3114754098360657,0.0035128805620608904,True,3.459016393442623,5.0,61,1.0,5,0.08333333333333333,0.10015758880165662,5,29,52,60,4,12,30,35,20,1,16,14,19,2,8,1,36,13,46,19,60,12,"7,11,13"
noisy_untrusted_external,7,2,61,60,85,0.04644808743169399,2.7868852459016393,0.037431693989071035,True,3.9770491803278687,6.0,61,1.0,5,0.08333333333333333,0.3386328580396377,5,29,52,60,4,10,28,24,19,1,16,14,19,2,8,1,43,17,35,19,60,12,"7,11,13"
nominal,7,3,61,60,104,0.05683060109289618,3.4098360655737703,0.03325526932084309,True,3.3579234972677594,5.0,61,1.0,8,0.13333333333333333,0.14914294274463766,8,32,55,60,3,15,33,28,25,1,16,14,19,2,8,1,36,18,38,18,60,12,"7,11,13"
degraded_ego,7,3,61,60,98,0.053551912568306013,3.2131147540983607,0.01092896174863388,True,3.6262295081967215,5.0,61,1.0,6,0.1,0.18089341763070577,6,30,53,60,3,12,26,31,26,1,16,14,19,2,8,1,37,21,42,19,60,12,"7,11,13"
ambiguous_local_context,7,3,61,60,91,0.04972677595628415,2.9836065573770494,0.006557377049180327,True,3.800546448087432,5.0,61,1.0,6,0.1,0.2785083278303618,6,30,53,60,3,15,27,26,20,1,16,14,19,2,8,1,43,14,43,24,60,12,"7,11,13"
noisy_untrusted_external,7,3,61,60,91,0.04972677595628415,2.9836065573770494,0.03169398907103825,True,3.8136612021857923,6.0,61,1.0,7,0.11666666666666667,0.3299367769706753,7,31,54,60,3,12,35,18,23,1,16,14,19,2,8,1,39,21,43,22,60,12,"7,11,13"
nominal,7,4,61,60,94,0.05136612021857923,3.081967213114754,0.0078064012490242,True,3.622950819672131,5.0,61,1.0,7,0.11666666666666667,0.26220002690341676,7,31,54,60,3,15,35,29,12,1,16,14,19,2,8,1,40,20,39,20,60,12,"7,11,13"
degraded_ego,7,4,61,60,105,0.05737704918032787,3.442622950819672,0.0676814988290398,True,3.482513661202186,5.0,61,1.0,6,0.1,0.1767771948704152,6,30,53,60,3,19,34,30,19,1,16,14,19,2,8,1,35,16,40,22,60,12,"7,11,13"
ambiguous_local_context,7,4,61,60,104,0.05683060109289618,3.4098360655737703,0.019984387197501948,True,3.4792349726775957,5.0,61,1.0,6,0.1,0.1531835019970613,6,30,53,60,3,18,34,30,19,1,16,14,19,2,8,1,38,14,39,20,60,12,"7,11,13"
noisy_untrusted_external,7,4,61,60,100,0.0546448087431694,3.278688524590164,0.04449648711943794,True,3.5289617486338796,5.0,61,1.0,8,0.13333333333333333,0.2552871939736348,8,32,55,60,3,14,28,29,26,1,16,14,19,2,8,1,43,13,40,22,60,12,"7,11,13"
nominal,7,5,61,60,98,0.053551912568306013,3.2131147540983607,0.039344262295081964,True,3.634426229508197,5.0,61,1.0,7,0.11666666666666667,0.21737740602147382,7,31,54,60,3,12,31,33,19,1,16,14,19,2,8,1,40,23,34,28,60,12,"7,11,13"
degraded_ego,7,5,61,60,105,0.05737704918032787,3.442622950819672,0.05597189695550351,True,3.485792349726776,5.0,61,1.0,8,0.13333333333333333,0.21579352850539296,8,32,55,60,4,18,35,29,19,1,16,14,19,2,8,1,39,15,39,26,60,12,"7,11,13"
ambiguous_local_context,7,5,61,60,100,0.0546448087431694,3.278688524590164,0.020075461878740566,True,3.5213114754098362,5.0,61,1.0,5,0.08333333333333333,0.08139426957223567,5,29,52,60,4,19,29,26,22,1,16,14,19,2,8,1,39,21,36,25,60,12,"7,11,13"
noisy_untrusted_external,7,5,61,60,99,0.054098360655737705,3.2459016393442623,0.052537080405932864,True,3.6382513661202185,5.0,61,1.0,5,0.08333333333333333,0.15615364547567936,5,29,52,60,4,17,30,28,20,1,16,14,19,2,8,1,44,16,38,23,60,12,"7,11,13"
nominal,7,6,61,60,100,0.0546448087431694,3.278688524590164,0.0250975800156128,True,3.5103825136612024,5.0,61,1.0,5,0.08333333333333333,0.11714348896552285,5,29,52,60,4,18,36,21,21,1,16,14,19,2,8,1,42,22,36,23,60,12,"7,11,13"
degraded_ego,7,6,61,60,100,0.0546448087431694,3.278688524590164,0.033879781420765025,True,3.5295081967213116,5.0,61,1.0,8,0.13333333333333333,0.26403371894897315,8,32,55,60,3,13,33,31,20,1,16,14,19,2,8,1,43,18,41,24,60,12,"7,11,13"
ambiguous_local_context,7,6,61,60,98,0.053551912568306013,3.2131147540983607,0.019906323185011707,True,3.648633879781421,5.0,61,1.0,6,0.1,0.2118688906824499,6,30,53,60,3,12,32,31,20,1,16,14,19,2,8,1,36,22,39,22,60,12,"7,11,13"
noisy_untrusted_external,7,6,61,60,102,0.05573770491803279,3.3442622950819674,0.019125683060109287,True,3.4103825136612023,5.0,61,1.0,6,0.1,0.1809492014576761,6,30,53,60,3,18,30,30,21,1,16,14,19,2,8,1,36,18,40,19,60,12,"7,11,13"
nominal,7,7,61,60,94,0.05136612021857923,3.081967213114754,0.023575331772053083,True,3.598360655737705,5.0,61,1.0,5,0.08333333333333333,0.1661947358981257,5,29,52,60,4,11,31,21,27,1,16,14,19,2,8,1,43,21,35,21,60,12,"7,11,13"
degraded_ego,7,7,61,60,102,0.05573770491803279,3.3442622950819674,0.046135831381733015,True,3.521857923497268,5.0,61,1.0,6,0.1,0.1825579850156121,6,30,53,60,3,25,26,29,19,1,16,14,19,2,8,1,44,13,35,19,60,12,"7,11,13"
