scenario,policy,policy_label,discovery_mode,parameter_name,parameter_value,OCA,MVA,Macro_F1_mean,mean_sources,mean_discovery_cost,mean_recruitment_cost,mean_selection_cost,mean_total_operational_cost,mean_latency_proxy,mean_privacy_cost,latency_proxy,privacy_cost,OCA_per_total_cost,adaptive_activation_rate
degraded_ego,ego_only,Ego-only,exhaustive_hop,graph_density,sparse,0.03125,0.353515625,0.2800222640358487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0
degraded_ego,opportunistic_all,Opportunistic all,exhaustive_hop,graph_density,sparse,0.7890625,0.9420572916666666,0.9132877833100778,53.375,150.578125,84.55614225356432,0.0,235.13426725356433,1.325232764841508,8.559300932594146,1.325232764841508,8.559300932594146,0.0033557954321863687,0.0
degraded_ego,siot_aware,SIoT-aware,bounded_relationship_guided,graph_density,sparse,0.1796875,0.6302083333333334,0.5870828722507532,4.1953125,51.57447916666667,5.988161488590757,8.0,58.36264065525743,0.6202070662264947,1.1414324260496196,0.6202070662264947,1.1414324260496196,0.003078810313971175,0.703125
degraded_ego,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,graph_density,sparse,0.1640625,0.6184895833333334,0.5704778525911185,3.9557291666666665,51.57447916666667,5.6301683505741735,8.0,58.00464751724084,0.599283305589033,1.0905601109533656,0.599283305589033,1.0905601109533656,0.0028284371515443717,0.703125
ambiguous_local_context,ego_only,Ego-only,exhaustive_hop,graph_density,sparse,0.0703125,0.47265625,0.4115826474298713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0703125,0.0
ambiguous_local_context,opportunistic_all,Opportunistic all,exhaustive_hop,graph_density,sparse,0.7239583333333333,0.9270833333333334,0.8982703957381086,53.5,152.51875,84.6464735574768,0.0,237.1652235574768,1.3237747230760508,8.471872437305763,1.3237747230760508,8.471872437305763,0.0030525484405932836,0.0
ambiguous_local_context,siot_aware,SIoT-aware,bounded_relationship_guided,graph_density,sparse,0.16145833333333334,0.6145833333333334,0.5638276668439405,3.3515625,51.88151041666667,4.875942867287886,8.364583333333334,57.59391161728789,0.6270359745235942,1.0370351828015378,0.6270359745235942,1.0370351828015378,0.002803392386442261,0.2630208333333333
ambiguous_local_context,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,graph_density,sparse,0.1640625,0.609375,0.5564994553062431,3.15625,51.88151041666667,4.575021583206329,8.364583333333334,57.29299033320633,0.6135588075751608,0.9735695053855493,0.6135588075751608,0.9735695053855493,0.0028635702037167247,0.2630208333333333
noisy_untrusted_external,ego_only,Ego-only,exhaustive_hop,graph_density,sparse,0.08854166666666666,0.5006510416666666,0.42518553032108486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08854166666666666,0.0
noisy_untrusted_external,opportunistic_all,Opportunistic all,exhaustive_hop,graph_density,sparse,0.3020833333333333,0.7591145833333333,0.6920826246782996,53.1875,149.484375,87.78776816110185,0.0,237.27214316110184,1.5218189342218178,8.360063560362898,1.5218189342218178,8.360063560362898,0.0012731512823577706,0.0
noisy_untrusted_external,siot_aware,SIoT-aware,bounded_relationship_guided,graph_density,sparse,0.109375,0.556640625,0.49135334969322797,2.346354166666667,51.159375000000004,3.4866099792463086,8.0,55.44598497924631,0.6710539278909409,0.7953329233420448,0.6710539278909409,0.7953329233420448,0.001972640580574762,0.30989583333333337
noisy_untrusted_external,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,graph_density,sparse,0.09895833333333333,0.5455729166666667,0.4827140811112671,1.4921875,51.159375000000004,2.2174994120157767,8.0,54.17687441201578,0.6649499221322486,0.5027780970177826,0.6649499221322486,0.5027780970177826,0.0018265788568892702,0.30989583333333337
degraded_ego,ego_only,Ego-only,exhaustive_hop,graph_density,default,0.03125,0.353515625,0.2800222640358487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0
degraded_ego,opportunistic_all,Opportunistic all,exhaustive_hop,graph_density,default,0.7552083333333334,0.9329427083333334,0.9045199820187376,53.375,157.00625,84.50089384352299,0.0,241.50714384352295,1.3278019169591895,8.433367082303821,1.3278019169591895,8.433367082303821,0.0031270641576658584,0.0
degraded_ego,siot_aware,SIoT-aware,bounded_relationship_guided,graph_density,default,0.14322916666666666,0.615234375,0.5723606685469929,4.177083333333334,51.719140625,5.982387812427076,8.0,58.501528437427076,0.654706722865533,1.1170768909508122,0.654706722865533,1.1170768909508122,0.0024482978563519723,0.703125
degraded_ego,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,graph_density,default,0.14583333333333331,0.6009114583333333,0.5546933172036126,3.96875,51.719140625,5.670389368776895,8.0,58.1895299937769,0.6439251587829528,1.0635057000925685,0.6439251587829528,1.0635057000925685,0.0025061782308420347,0.703125
ambiguous_local_context,ego_only,Ego-only,exhaustive_hop,graph_density,default,0.0703125,0.47265625,0.4115826474298713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0703125,0.0
ambiguous_local_context,opportunistic_all,Opportunistic all,exhaustive_hop,graph_density,default,0.7369791666666666,0.9264322916666666,0.8916643071051212,53.5,159.1625,84.60097790204156,0.0,243.7634779020416,1.315294896092385,8.621603095896727,1.315294896092385,8.621603095896727,0.003023337101232318,0.0
ambiguous_local_context,siot_aware,SIoT-aware,bounded_relationship_guided,graph_density,default,0.16927083333333334,0.6217447916666667,0.5682053443569306,3.4453125,52.58229166666666,4.954356609919472,8.356770833333334,58.37232535991947,0.5721501341391688,1.0766544890869643,0.5721501341391688,1.0766544890869643,0.0028998473555682733,0.2630208333333333
