scenario,policy,policy_label,discovery_mode,parameter_name,parameter_value,OCA,MVA,Macro_F1_mean,mean_sources,mean_discovery_cost,mean_recruitment_cost,mean_selection_cost,mean_total_operational_cost,mean_latency_proxy,mean_privacy_cost,latency_proxy,privacy_cost,OCA_per_total_cost,adaptive_activation_rate
degraded_ego,ego_only,Ego-only,exhaustive_hop,selection_cap,1,0.03125,0.353515625,0.2800222640358487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0
degraded_ego,opportunistic_all,Opportunistic all,exhaustive_hop,selection_cap,1,0.7552083333333334,0.9329427083333334,0.9045199820187376,53.375,157.00625,84.50089384352299,0.0,241.50714384352295,1.3278019169591895,8.433367082303821,1.3278019169591895,8.433367082303821,0.0031270641576658584,0.0
degraded_ego,siot_aware,SIoT-aware,bounded_relationship_guided,selection_cap,1,0.0546875,0.46875,0.4144711279787904,1.4791666666666665,51.719140625,2.1778260113569563,8.0,54.696966636356954,0.5355167271730251,0.543621288992072,0.5355167271730251,0.543621288992072,0.0009998269257522105,0.703125
degraded_ego,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,selection_cap,1,0.0546875,0.46940104166666663,0.4162476779091232,1.390625,51.719140625,2.0386844485209297,8.0,54.55782507352093,0.5561914305706684,0.49557710516902154,0.5561914305706684,0.49557710516902154,0.0010023768346026317,0.703125
ambiguous_local_context,ego_only,Ego-only,exhaustive_hop,selection_cap,1,0.0703125,0.47265625,0.4115826474298713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0703125,0.0
ambiguous_local_context,opportunistic_all,Opportunistic all,exhaustive_hop,selection_cap,1,0.7369791666666666,0.9264322916666666,0.8916643071051212,53.5,159.1625,84.60097790204156,0.0,243.7634779020416,1.315294896092385,8.621603095896727,1.315294896092385,8.621603095896727,0.003023337101232318,0.0
ambiguous_local_context,siot_aware,SIoT-aware,bounded_relationship_guided,selection_cap,1,0.125,0.5768229166666667,0.5244718415176677,2.4739583333333335,52.58229166666666,3.5858533309504246,8.356770833333334,57.00382208095043,0.524148606177201,0.8617109300347756,0.524148606177201,0.8617109300347756,0.002192835417640751,0.2630208333333333
ambiguous_local_context,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,selection_cap,1,0.12239583333333333,0.5553385416666666,0.5032940044881314,2.4739583333333335,52.58229166666666,3.5858533309504246,8.356770833333334,57.00382208095043,0.524148606177201,0.8617109300347756,0.524148606177201,0.8617109300347756,0.002147151346439902,0.2630208333333333
noisy_untrusted_external,ego_only,Ego-only,exhaustive_hop,selection_cap,1,0.08854166666666666,0.5006510416666666,0.42518553032108486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08854166666666666,0.0
noisy_untrusted_external,opportunistic_all,Opportunistic all,exhaustive_hop,selection_cap,1,0.29427083333333337,0.751953125,0.6872602244416441,53.1875,155.39374999999998,88.09969872013562,0.0,243.49344872013563,1.5439105867321792,8.224628565116452,1.5439105867321792,8.224628565116452,0.0012085369642596002,0.0
noisy_untrusted_external,siot_aware,SIoT-aware,bounded_relationship_guided,selection_cap,1,0.10416666666666666,0.5266927083333333,0.4587568295698919,1.4479166666666665,51.340625,2.1407040596002767,8.0,54.28132905960028,0.6168686129375697,0.5112032114735123,0.6168686129375697,0.5112032114735123,0.0019190146680508292,0.30989583333333337
noisy_untrusted_external,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,selection_cap,1,0.1015625,0.51953125,0.45350486633418247,1.0,51.340625,1.4704042872986947,8.0,53.61102928729869,0.5986767541720814,0.3478232311179549,0.5986767541720814,0.3478232311179549,0.001894432943186595,0.30989583333333337
degraded_ego,ego_only,Ego-only,exhaustive_hop,selection_cap,2,0.03125,0.353515625,0.2800222640358487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0
degraded_ego,opportunistic_all,Opportunistic all,exhaustive_hop,selection_cap,2,0.7552083333333334,0.9329427083333334,0.9045199820187376,53.375,157.00625,84.50089384352299,0.0,241.50714384352295,1.3278019169591895,8.433367082303821,1.3278019169591895,8.433367082303821,0.0031270641576658584,0.0
degraded_ego,siot_aware,SIoT-aware,bounded_relationship_guided,selection_cap,2,0.0703125,0.5052083333333334,0.4526922715764251,2.1822916666666665,51.719140625,3.220191270590008,8.0,55.73933189559001,0.5788506937511775,0.7904444050695784,0.5788506937511775,0.7904444050695784,0.001261452148936916,0.703125
degraded_ego,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,selection_cap,2,0.06770833333333333,0.5013020833333334,0.45177692976953926,2.09375,51.719140625,3.0822978994571155,8.0,55.60143852445712,0.5792321337974312,0.7514255323141125,0.5792321337974312,0.7514255323141125,0.0012177442729930596,0.703125
ambiguous_local_context,ego_only,Ego-only,exhaustive_hop,selection_cap,2,0.0703125,0.47265625,0.4115826474298713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0703125,0.0
