scenario,seed,episode,nodes,source_nodes,edges,density,average_degree,average_clustering_coefficient,graph_connected,average_shortest_path_length,effective_diameter,ego_component_size,ego_component_fraction,ego_degree,ego_degree_centrality,ego_betweenness_centrality,candidate_sources_within_1_hop,candidate_sources_within_2_hop,candidate_sources_within_3_hop,candidate_sources_within_4_hop,edge_count_OOR,edge_count_CLOR,edge_count_CWOR,edge_count_SOR,edge_count_POR,node_type_count_ego_device,node_type_count_environmental_sensor,node_type_count_infrastructure_sensor,node_type_count_opportunistic_object,node_type_count_personal_device,node_type_count_vehicle_sensor,node_type_count_wearable,capability_count_place,capability_count_activity,capability_count_env_load,capability_count_resource_state
nominal,7,0,61,60,94,0.05136612021857923,3.081967213114754,0.02068696330991413,True,3.7273224043715847,5.0,61,1.0,6,0.1,0.2706353690251995,6,30,53,60,4,11,32,19,28,1,16,14,19,2,8,1,34,17,38,23
degraded_ego,7,0,61,60,101,0.055191256830601096,3.3114754098360657,0.03242258652094718,True,3.5278688524590165,5.0,61,1.0,6,0.1,0.14569482149990623,6,30,53,60,3,9,33,29,27,1,16,14,19,2,8,1,39,18,42,22
ambiguous_local_context,7,0,61,60,96,0.05245901639344262,3.1475409836065573,0.00624512099921936,True,3.5530054644808744,5.0,61,1.0,5,0.08333333333333333,0.15104721549636807,5,29,52,60,3,10,31,34,18,1,16,14,19,2,8,1,46,16,33,18
noisy_untrusted_external,7,0,61,60,95,0.05191256830601093,3.1147540983606556,0.006557377049180327,True,3.5814207650273224,5.0,61,1.0,7,0.11666666666666667,0.23841135324186175,7,31,54,60,3,17,27,25,23,1,16,14,19,2,8,1,41,12,37,18
nominal,7,1,61,60,88,0.048087431693989074,2.8852459016393444,0.02459016393442623,True,3.860655737704918,6.0,61,1.0,6,0.1,0.2745847906017398,6,30,53,60,3,13,26,22,24,1,16,14,19,2,8,1,46,21,45,22
degraded_ego,7,1,61,60,99,0.054098360655737705,3.2459016393442623,0.0477751756440281,True,3.685245901639344,5.0,61,1.0,5,0.08333333333333333,0.23776880997219985,5,29,52,60,3,12,32,31,21,1,16,14,19,2,8,1,42,14,42,19
ambiguous_local_context,7,1,61,60,98,0.053551912568306013,3.2131147540983607,0.023497267759562842,True,3.6327868852459018,5.0,61,1.0,7,0.11666666666666667,0.21882554421201644,7,31,54,60,3,12,30,25,28,1,16,14,19,2,8,1,40,16,37,23
noisy_untrusted_external,7,1,61,60,105,0.05737704918032787,3.442622950819672,0.02966432474629196,True,3.416393442622951,5.0,61,1.0,5,0.08333333333333333,0.07384846478066817,5,29,52,60,3,15,33,33,21,1,16,14,19,2,8,1,38,20,40,17
nominal,7,2,61,60,92,0.05027322404371585,3.0163934426229506,0.025683060109289616,True,3.8240437158469947,6.0,61,1.0,8,0.13333333333333333,0.4431167608286253,8,32,55,60,3,12,31,26,20,1,16,14,19,2,8,1,44,22,35,20
degraded_ego,7,2,61,60,97,0.053005464480874315,3.180327868852459,0.034972677595628415,True,3.531693989071038,5.0,61,1.0,7,0.11666666666666667,0.21399627836068508,7,31,54,60,3,14,31,36,13,1,16,14,19,2,8,1,47,19,39,17
