scenario,seed,episode,relation_type,edge_count,edge_share,relation_utility
nominal,7,0,OOR,4,0.0425531914893617,1.0
nominal,7,0,CLOR,11,0.11702127659574468,0.8
nominal,7,0,CWOR,32,0.3404255319148936,0.8
nominal,7,0,SOR,19,0.20212765957446807,0.6
nominal,7,0,POR,28,0.2978723404255319,0.5
degraded_ego,7,0,OOR,3,0.0297029702970297,1.0
degraded_ego,7,0,CLOR,9,0.0891089108910891,0.8
degraded_ego,7,0,CWOR,33,0.32673267326732675,0.8
degraded_ego,7,0,SOR,29,0.2871287128712871,0.6
degraded_ego,7,0,POR,27,0.26732673267326734,0.5
ambiguous_local_context,7,0,OOR,3,0.03125,1.0
ambiguous_local_context,7,0,CLOR,10,0.10416666666666667,0.8
ambiguous_local_context,7,0,CWOR,31,0.3229166666666667,0.8
ambiguous_local_context,7,0,SOR,34,0.3541666666666667,0.6
ambiguous_local_context,7,0,POR,18,0.1875,0.5
noisy_untrusted_external,7,0,OOR,3,0.031578947368421054,1.0
noisy_untrusted_external,7,0,CLOR,17,0.17894736842105263,0.8
noisy_untrusted_external,7,0,CWOR,27,0.28421052631578947,0.8
noisy_untrusted_external,7,0,SOR,25,0.2631578947368421,0.6
noisy_untrusted_external,7,0,POR,23,0.24210526315789474,0.5
nominal,7,1,OOR,3,0.03409090909090909,1.0
nominal,7,1,CLOR,13,0.14772727272727273,0.8
nominal,7,1,CWOR,26,0.29545454545454547,0.8
nominal,7,1,SOR,22,0.25,0.6
nominal,7,1,POR,24,0.2727272727272727,0.5
degraded_ego,7,1,OOR,3,0.030303030303030304,1.0
degraded_ego,7,1,CLOR,12,0.12121212121212122,0.8
degraded_ego,7,1,CWOR,32,0.32323232323232326,0.8
degraded_ego,7,1,SOR,31,0.31313131313131315,0.6
degraded_ego,7,1,POR,21,0.21212121212121213,0.5
ambiguous_local_context,7,1,OOR,3,0.030612244897959183,1.0
ambiguous_local_context,7,1,CLOR,12,0.12244897959183673,0.8
ambiguous_local_context,7,1,CWOR,30,0.30612244897959184,0.8
ambiguous_local_context,7,1,SOR,25,0.25510204081632654,0.6
ambiguous_local_context,7,1,POR,28,0.2857142857142857,0.5
noisy_untrusted_external,7,1,OOR,3,0.02857142857142857,1.0
noisy_untrusted_external,7,1,CLOR,15,0.14285714285714285,0.8
noisy_untrusted_external,7,1,CWOR,33,0.3142857142857143,0.8
noisy_untrusted_external,7,1,SOR,33,0.3142857142857143,0.6
noisy_untrusted_external,7,1,POR,21,0.2,0.5
nominal,7,2,OOR,3,0.03260869565217391,1.0
nominal,7,2,CLOR,12,0.13043478260869565,0.8
nominal,7,2,CWOR,31,0.33695652173913043,0.8
nominal,7,2,SOR,26,0.2826086956521739,0.6
nominal,7,2,POR,20,0.21739130434782608,0.5
degraded_ego,7,2,OOR,3,0.030927835051546393,1.0
degraded_ego,7,2,CLOR,14,0.14432989690721648,0.8
degraded_ego,7,2,CWOR,31,0.31958762886597936,0.8
degraded_ego,7,2,SOR,36,0.3711340206185567,0.6
degraded_ego,7,2,POR,13,0.13402061855670103,0.5
ambiguous_local_context,7,2,OOR,4,0.039603960396039604,1.0
ambiguous_local_context,7,2,CLOR,12,0.1188118811881188,0.8
ambiguous_local_context,7,2,CWOR,30,0.297029702970297,0.8
ambiguous_local_context,7,2,SOR,35,0.3465346534653465,0.6
ambiguous_local_context,7,2,POR,20,0.19801980198019803,0.5
noisy_untrusted_external,7,2,OOR,4,0.047058823529411764,1.0
noisy_untrusted_external,7,2,CLOR,10,0.11764705882352941,0.8
noisy_untrusted_external,7,2,CWOR,28,0.32941176470588235,0.8
noisy_untrusted_external,7,2,SOR,24,0.2823529411764706,0.6
noisy_untrusted_external,7,2,POR,19,0.2235294117647059,0.5
nominal,7,3,OOR,3,0.028846153846153848,1.0
nominal,7,3,CLOR,15,0.14423076923076922,0.8
nominal,7,3,CWOR,33,0.3173076923076923,0.8
nominal,7,3,SOR,28,0.2692307692307692,0.6
nominal,7,3,POR,25,0.2403846153846154,0.5
degraded_ego,7,3,OOR,3,0.030612244897959183,1.0
degraded_ego,7,3,CLOR,12,0.12244897959183673,0.8
degraded_ego,7,3,CWOR,26,0.2653061224489796,0.8
degraded_ego,7,3,SOR,31,0.3163265306122449,0.6
degraded_ego,7,3,POR,26,0.2653061224489796,0.5
ambiguous_local_context,7,3,OOR,3,0.03296703296703297,1.0
ambiguous_local_context,7,3,CLOR,15,0.16483516483516483,0.8
ambiguous_local_context,7,3,CWOR,27,0.2967032967032967,0.8
ambiguous_local_context,7,3,SOR,26,0.2857142857142857,0.6
ambiguous_local_context,7,3,POR,20,0.21978021978021978,0.5
noisy_untrusted_external,7,3,OOR,3,0.03296703296703297,1.0
noisy_untrusted_external,7,3,CLOR,12,0.13186813186813187,0.8
noisy_untrusted_external,7,3,CWOR,35,0.38461538461538464,0.8
noisy_untrusted_external,7,3,SOR,18,0.1978021978021978,0.6
noisy_untrusted_external,7,3,POR,23,0.25274725274725274,0.5
nominal,7,4,OOR,3,0.031914893617021274,1.0
